Name,Team,Position,Status,Age,PitchingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,WHIP,G,SV,HLD,SVH,IP,SO,K/9,BB/9,BABIP,FIP
Derek Law,WSH,RP,FA,34,,-6.95062037,-8.716252841,,4,0,3.87295,1.32916,72,5,13,18,72,62,7.72753,3.20599,0.295213,4.03859
Porter Hodge,CHC,RP,FA,24,,-4.461057635,-5.673820946,,3,0,3.86527,1.31608,63,11,10,21,63,68,9.74686,4.24791,0.28678,3.98788
Jonathan Cannon,CHW,SP,FA,24,,-40.66684976,-49.92000731,,7,11,4.75123,1.38733,32,0,1,1,155,115,6.63299,3.05126,0.293199,4.77162
Alexis Diaz,CIN,RP,FA,28,,-0.968069321,-1.405127932,,4,0,4.15329,1.29312,65,28,3,31,65,69,9.6015,4.28024,0.280498,4.21162
Kevin Ginkel,ARI,RP,FA,30,,6.1829077,7.333900919,,5,0,3.30589,1.19658,61,3,14,17,61,65,9.58563,2.84652,0.296784,3.3477
Chad Green,TOR,RP,FA,33,,-0.604519804,-0.960843227,,5,0,3.93837,1.21276,63,5,12,17,63,60,8.61604,2.71456,0.282479,4.11914
Jason Foley,DET,RP,FA,29,,-0.19324597,-0.458235836,,4,0,3.54264,1.25428,63,13,7,20,63,51,7.34548,2.61839,0.29489,3.56368
Lucas Erceg,KC,RP,FA,29,,2.10717598,2.35305187,,4,0,3.45557,1.26112,67,11,10,21,67,75,10.1396,3.73948,0.298995,3.47264
Kyle Freeland,COL,SP,FA,31,,-48.50771099,-59.50212627,,7,12,5.04391,1.42002,28,0,0,0,152,109,6.49314,2.47505,0.307507,4.80614
Ryan Weathers,MIA,SP,FA,25,,-24.05459802,-29.618593,,7,12,4.29698,1.35901,32,0,1,1,142,124,7.91008,3.318,0.296442,4.34316
German Marquez,COL,SP,FA,30,,-36.09845234,-44.33708392,,8,13,4.67656,1.38658,28,0,0,0,156,129,7.44252,3.0456,0.306187,4.37571
Drew Rasmussen,TB,SP,FA,29,,13.83192789,16.68157577,,9,10,3.32965,1.15324,43,0,1,1,125,121,8.70032,2.23019,0.293904,3.33455
Alex Cobb,DET,SP,FA,37,,-12.35983285,-15.32671512,,5,10,3.82144,1.31608,18,0,0,0,95,78,7.4194,2.74374,0.304416,3.6951
Tyler Mahle,TEX,SP,FA,30,,-13.54843514,-16.77927605,,8,13,4.28776,1.26109,26,0,0,0,141,131,8.38428,2.86116,0.286924,4.23156
Marcus Stroman,NYY,SP,FA,33,,-25.66736298,-31.58951242,,8,9,4.39136,1.37031,42,0,1,1,136,102,6.74715,3.10645,0.293353,4.43637
Jordan Hicks,SF,SP,FA,28,,-21.43807324,-26.42100398,,8,11,4.06094,1.39004,40,0,1,1,136,127,8.3658,4.01889,0.299249,4.11452
Joel Payamps,MIL,RP,FA,30,,0.961326928,0.952738613,,5,0,3.67344,1.21856,61,2,13,15,61,60,8.85305,2.97988,0.283982,3.93073
