Name,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9,FIP
Chase Dollander,4,7,5.06042,18,0,0,0,95,85,8.10648,3.58325,
Kyle Hendricks,6,10,5.1259,24,0,0,0,127,89,6.33322,2.65518,
Luke Weaver,3,0,3.91239,68,6,13,19,68,73,9.61735,2.68008,
Dylan Lee,4,0,3.3188,62,0,13,13,62,71,10.3636,2.58998,
Ryne Nelson,6,4,4.09168,55,0,1,1,100,82,7.41408,2.36268,
Tony Gonsolin,6,6,4.4859,39,0,1,1,99,86,7.7953,3.02726,
Kirby Yates,5,0,3.58916,60,9,11,20,60,73,10.9162,4.34049,
Hayden Birdsong,6,8,4.2301,40,0,1,1,108,113,9.45065,4.08197,
Bubba Chandler,4,7,4.50682,15,0,0,0,75,65,7.78761,3.65133,
Joey Cantillo,5,5,4.00994,37,0,1,1,82,85,9.25673,4.08992,
Jack Leiter,6,7,4.77584,40,0,1,1,113,114,9.06061,3.97943,
Jordan Romano,5,0,3.83202,59,23,4,27,59,64,9.80502,3.33123,
Trevor Williams,6,6,4.53079,53,0,1,1,113,90,7.216,2.84206,
Reed Garrett,6,0,3.57601,66,0,15,15,66,77,10.5639,4.05356,
Johan Oviedo,4,4,4.31157,32,0,1,1,76,68,8.03365,3.64131,
Alex Vesia,4,0,3.53325,58,0,14,14,58,74,11.4191,3.90451,
Brock Stewart,3,0,3.14018,56,1,9,10,56,72,11.5479,3.56174,
Yimi García,4,0,3.60036,61,3,14,17,61,67,9.86638,2.82697,
Brock Burke,3,0,3.84888,66,1,16,17,66,66,9.00646,3.13995,
Jesus Tinoco,3,0,3.81975,64,6,10,16,64,64,9.0327,3.4431,
Tylor Megill,5,2,3.9897,53,0,1,1,81,83,9.26131,3.28808,
Andrew Painter,3,4,4.53002,19,0,1,1,64,62,8.76142,3.36532,
Alexis Díaz,4,0,4.15331,65,28,3,31,65,69,9.60141,4.28022,
Patrick Corbin,4,7,4.95277,16,0,0,0,88,68,6.95024,2.94594,
Dennis Santana,3,0,3.96706,66,2,12,14,66,63,8.60829,3.61713,
Colin Holderman,4,0,3.89101,62,3,13,16,62,63,9.07418,3.72918,
Bryan Hudson,3,0,3.51998,60,1,11,12,60,65,9.74438,3.26859,
Jack Kochanowicz,5,6,4.78994,29,0,1,1,97,54,5.03447,2.45755,
Caleb Ferguson,3,0,3.44289,60,1,11,12,60,63,9.47847,3.61395,
Adrian Morejon,3,0,3.54673,61,1,12,13,61,65,9.52779,3.17292,
Alex Wood,4,6,4.66589,13,0,0,0,69,57,7.44702,3.20909,
AJ Smith-Shawver,4,3,4.1716,43,0,1,1,74,77,9.36034,3.62007,
Tanner Banks,3,0,3.72499,68,0,12,12,68,67,8.9052,2.85462,
Matthew Liberatore,5,2,3.96707,65,2,12,14,85,78,8.30447,3.25575,
Justin Slaten,4,0,3.91813,64,0,13,13,64,67,9.42407,3.32039,
Calvin Faucher,3,0,3.91425,63,22,6,28,63,66,9.41341,4.05668,
Tim Herrin,4,0,3.39764,62,0,14,14,62,66,9.5829,3.69476,
Yennier Cano,4,0,3.33715,61,1,12,13,61,60,8.81832,3.0724,
Jared Koenig,4,0,3.75735,62,2,11,13,62,60,8.73414,3.19235,
Edwin Uceta,3,0,3.91333,65,9,11,20,65,70,9.70622,3.46557,
J.T. Ginn,4,5,4.43818,35,0,1,1,91,67,6.63168,3.09333,
Randy Vásquez,4,4,4.43825,27,0,1,1,67,51,6.90177,2.99804,
Ryan Brasier,3,0,3.62419,58,2,13,15,58,55,8.48246,2.62372,
Seranthony Domínguez,4,0,3.70567,62,3,12,15,62,68,9.80988,3.54778,
John Schreiber,4,0,3.88239,61,1,12,13,61,56,8.30349,3.57307,
Bryse Wilson,4,4,4.88576,39,0,1,1,100,72,6.49013,2.84023,
Landen Roupp,4,2,3.7775,55,0,4,4,75,74,8.81311,3.59661,
Bryce Elder,3,3,4.19114,16,0,1,1,46,39,7.53651,3.00546,
Erik Miller,4,0,3.47974,61,1,12,13,61,76,11.189,4.7761,
Derek Law,4,0,3.87292,72,5,13,18,72,62,7.7276,3.20597,
Ben Brown,3,1,3.59409,31,0,1,1,45,50,10.0604,3.378,
Nick Mears,3,0,3.7323,59,0,11,11,59,73,11.1106,4.20213,
Ryan Fernandez,4,0,3.76201,65,1,16,17,65,64,8.86105,3.51053,
Anthony DeSclafani,3,5,4.632,10,0,0,0,54,42,7.01279,2.49727,
Joel Payamps,5,0,3.67342,61,2,13,15,61,60,8.85317,2.97993,
