Name,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9,FIP
Gregory Soto,4,0,3.49462,59,0,10,10,59,67,10.2843,3.86317,
Andrew Nardi,3,0,3.6153,58,1,10,11,58,72,11.1613,3.59099,
José Leclerc,4,0,3.90274,64,3,13,16,64,74,10.4517,4.27115,
Noah Schultz,1,3,4.33051,6,0,0,0,31,28,8.07124,3.08117,
Griffin Canning,5,4,4.59078,46,0,1,1,98,88,8.04739,3.12621,
Jakob Junis,4,2,4.28605,59,0,7,7,83,76,8.31214,2.12382,
JoJo Romero,4,0,3.52592,61,1,13,14,61,60,8.88948,3.0307,
José Buttó,3,0,3.69643,63,1,16,17,63,67,9.51859,3.57749,
Jose A. Ferrer,3,0,3.88872,62,3,11,14,62,51,7.40869,3.01278,
Aaron Ashby,4,2,4.04021,41,0,1,1,63,62,8.82652,4.61585,
Andrew Kittredge,5,0,3.7593,66,2,13,15,66,61,8.25813,2.40774,
Trevor Rogers,3,2,4.24767,27,0,1,1,54,47,7.72598,3.28784,
Tyler Rogers,4,0,3.7499,70,1,14,15,70,50,6.36792,1.83988,
Ryan Thompson,5,0,3.69037,63,0,13,13,63,51,7.24185,2.64729,
Wade Miley,3,4,4.92927,10,0,0,0,52,34,5.9716,3.18574,
Joe Mantiply,4,0,3.59418,59,0,11,11,59,51,7.77604,2.66833,
Joe Kelly,2,0,3.72097,34,0,0,0,34,40,10.5594,4.23168,
Taylor Rogers,3,0,4.33251,62,3,13,16,62,71,10.2939,3.66442,
Garrett Cleavinger,5,0,3.8616,63,3,15,18,63,74,10.5963,4.09652,
Caden Dana,4,5,4.92308,13,0,0,0,69,59,7.60761,3.39056,
Kyle Finnegan,4,0,3.96784,64,22,6,28,64,61,8.60006,3.34693,
Shawn Armstrong,3,0,4.1972,61,1,12,13,61,59,8.67606,2.87761,
Jackson Jobe,5,8,4.63623,31,0,1,1,112,87,6.96447,3.3569,
Jordan Wicks,3,2,4.14478,21,0,1,1,46,41,8.00229,3.03837,
Hoby Milner,3,0,3.91769,58,0,11,11,58,53,8.18652,2.41133,
Will Warren,2,1,4.11618,31,0,1,1,45,43,8.58786,2.91951,
Shinnosuke Ogasawara,0,4,4.91346,46,0,0,0,80,74,8.28321,3.69789,
Caleb Thielbar,3,0,3.71106,56,0,10,10,56,61,9.80951,3.20661,
Mark Leiter Jr.,3,0,3.90964,58,0,12,12,58,67,10.4698,3.44346,
Declan Cronin,3,0,3.94437,67,1,13,14,67,58,7.75914,3.45219,
Dane Dunning,4,1,4.30801,63,0,5,5,78,71,8.19647,2.99552,
José Quijada,3,0,4.01448,62,0,12,12,62,72,10.4173,4.67954,
José Suarez,3,1,4.19055,62,0,10,10,69,67,8.73489,3.24185,
Braxton Ashcraft,2,1,4.06614,33,0,1,1,46,38,7.51042,2.22167,
Yuki Matsui,3,0,3.60408,56,0,9,9,56,65,10.4115,3.99055,
DL Hall,2,1,3.95208,40,0,1,1,52,56,9.65785,4.008,
Porter Hodge,3,0,3.86524,63,11,10,21,63,68,9.74696,4.24791,
Jorge Alcala,3,0,4.01867,60,1,12,13,60,63,9.50996,3.48268,
Jacob Webb,3,0,4.25984,62,2,14,16,62,63,9.18092,3.94582,
Sawyer Gipson-Long,3,1,4.01858,31,0,1,1,45,41,8.15651,2.49272,
Greg Weissert,3,0,4.02737,60,0,12,12,60,58,8.72322,3.42079,
Adam Mazur,2,3,4.72981,6,0,0,0,33,25,6.83456,2.80769,
Logan Allen,2,3,4.32843,6,0,0,0,34,29,7.76885,3.43185,
Brandon Sproat,1,2,4.22844,5,0,0,0,25,22,7.84824,3.36833,
Justin Wilson,3,0,4.14981,58,0,10,10,58,60,9.2616,3.12162,
Kyle Hart,5,6,4.66544,34,0,1,1,102,73,6.40053,3.15826,
Dedniel Núñez,3,0,3.48631,49,0,4,4,49,55,10.1723,3.30131,
Gabe Speier,3,0,3.57169,58,0,10,10,58,61,9.48053,2.99771,
Kyle Bradish,1,1,3.29004,12,0,1,1,19,20,9.50286,2.66349,
Michel Otañez,4,0,3.83219,61,0,13,13,61,75,11.0474,4.99272,
Louis Varland,4,1,3.96764,56,0,7,7,63,61,8.70847,2.51117,
Daysbel Hernández,4,0,3.77798,58,0,11,11,58,68,10.6243,4.34047,
Kenta Maeda,3,1,4.39547,63,0,5,5,77,71,8.2948,2.52281,
Joe Boyle,3,2,4.28637,41,0,1,1,59,69,10.4978,5.76328,
Craig Kimbrel,3,0,3.9312,40,0,0,0,40,49,10.9139,4.29768,
