Name,W,QS,ERA,WHIP,G,SV,HLD,SVH,IP,SO,K/9,BB/9,BABIP,FIP
Jesus Tinoco,3,0,3.81978,1.293,64,6,10,16,64,64,9.03263,3.44312,0.296132,3.81226
Jhoan Duran,7,0,2.5771,1.09615,65,22,5,27,65,81,11.2114,2.80762,0.300918,2.57809
Jhonathan Díaz,0,1,4.27309,1.37736,2,0,0,0,9,7,7.03844,3.54753,0.290115,4.50443
Jhony Brito,3,1,4.16637,1.30257,40,0,1,1,47,36,6.87202,2.7268,0.288414,4.30469
Jimmy Herget,3,0,4.78916,1.38511,48,0,1,1,48,41,7.76252,2.83991,0.305727,4.60961
Joe Boyle,3,2,4.28638,1.46119,41,0,1,1,59,69,10.4978,5.76328,0.288848,4.37927
Joe Jacques,0,0,4.44364,1.40113,10,0,1,1,10,8,6.87438,3.40083,0.296961,4.6559
Joe Jiménez,1,0,3.48283,1.16315,27,0,1,1,27,32,10.6717,2.95993,0.294419,3.3511
Joe Kelly,2,0,3.72096,1.30224,34,0,0,0,34,40,10.5595,4.23168,0.298959,3.59883
Joe Mantiply,4,0,3.59419,1.27458,59,0,11,11,59,51,7.776,2.66833,0.301875,3.57313
Joe Rock,1,1,4.13408,1.30522,19,0,1,1,26,22,7.44156,2.63413,0.29583,4.20515
Joe Ross,3,1,4.37316,1.35062,56,0,6,6,63,55,7.90631,3.29052,0.293732,4.37823
Joe Ryan,10,15,3.76863,1.10126,28,0,0,0,158,172,9.79537,2.06635,0.28444,3.64999
Joel Payamps,5,0,3.67344,1.21856,61,2,13,15,61,60,8.85305,2.97988,0.283982,3.93073
Joely Rodríguez,2,0,4.11984,1.40603,30,0,0,0,30,26,7.77451,3.45555,0.309009,4.03541
Joey Cantillo,6,7,4.05854,1.35745,33,0,1,1,98,99,9.14553,4.11824,0.288842,4.26065
Joey Estes,5,6,4.94663,1.28636,33,0,1,1,105,79,6.72044,2.36392,0.278966,5.09499
Joey Gerber,1,0,4.72526,1.45028,19,0,1,1,19,17,8.12895,4.19194,0.290032,4.71674
Joey Lucchesi,0,0,4.22888,1.41189,8,0,1,1,8,6,6.38814,3.26347,0.298474,4.35597
Joey Wentz,3,0,4.25861,1.36793,57,1,9,10,57,56,8.89542,3.72414,0.29732,4.17398
Johan Oviedo,4,4,4.31159,1.36424,32,0,1,1,76,68,8.03363,3.64133,0.294825,4.33322
John Brebbia,3,0,4.14208,1.25956,57,0,9,9,57,61,9.70249,2.95324,0.294831,4.00916
John Curtiss,1,0,4.88698,1.41874,18,0,1,1,18,14,6.86544,3.08742,0.298656,4.7918
John King,3,0,3.65618,1.32396,59,0,12,12,59,40,6.06366,2.46462,0.301925,3.84585
John McMillon,2,0,4.40034,1.44289,21,0,1,1,21,24,10.1125,5.23001,0.287605,4.48318
John Rooney,1,0,4.43199,1.43604,28,0,1,1,28,24,7.81527,3.94802,0.301673,4.45974
John Schreiber,4,0,3.88197,1.33135,61,1,12,13,61,56,8.30355,3.57308,0.297607,3.83228
JoJo Romero,4,0,3.52594,1.24196,61,1,13,14,61,60,8.88945,3.0307,0.294063,3.72099
Jon Gray,8,10,4.36021,1.27222,37,0,1,1,145,133,8.21791,2.74773,0.292372,4.10732
Jonathan Bowlan,2,0,4.46544,1.36551,40,0,1,1,40,31,7.04491,2.90996,0.297292,4.45606
Jonathan Cannon,7,11,4.75123,1.38733,32,0,1,1,155,115,6.63299,3.05126,0.293199,4.77162
Jonathan Heasley,1,0,4.94254,1.39071,15,0,1,1,15,12,7.07443,3.06738,0.293445,4.85641
Jonathan Hernández,1,0,4.37675,1.4482,26,0,1,1,26,24,8.35412,4.52703,0.294942,4.30776
Jonathan Loáisiga,4,0,3.44523,1.20771,40,0,1,1,40,34,7.67874,2.51278,0.290756,3.51747
Jonathan Pintaro,0,1,4.60874,1.38879,2,0,0,0,8,7,7.11675,3.41737,0.290413,4.63053
Jordan Balazovic,1,0,4.0658,1.35158,10,0,1,1,10,9,8.15518,3.65463,0.292525,4.06395
Jordan Hicks,8,11,4.06094,1.39004,40,0,1,1,136,127,8.3658,4.01889,0.299249,4.11452
Jordan Leasure,3,0,4.61593,1.41824,62,0,10,10,62,60,8.69399,4.2761,0.291943,4.66536
Jordan Montgomery,7,7,4.06928,1.34264,42,0,1,1,117,93,7.1635,2.74037,0.303196,4.03732
Jordan Romano,5,0,3.83201,1.23887,59,23,4,27,59,64,9.80506,3.33121,0.288812,3.88213
Jordan Wicks,3,2,4.14466,1.30342,21,0,1,1,46,41,8.00223,3.03835,0.289495,4.2199
Jorge Alcala,3,0,4.01867,1.25721,60,1,12,13,60,63,9.50992,3.48264,0.28869,4.05081
Jorge López,3,0,4.14318,1.34209,60,7,12,19,60,53,7.88376,3.25878,0.298561,4.20756
Jose A. Ferrer,3,0,3.88875,1.30183,62,3,11,14,62,51,7.40857,3.01276,0.29435,3.943
José Alvarado,4,0,3.31416,1.25836,60,3,10,13,60,69,10.4142,4.01794,0.293422,3.35961
José Berríos,12,17,4.18313,1.26284,32,0,0,0,194,167,7.75468,2.47624,0.28989,4.33068
