Name,Team,Position,Status,Age,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9,PitchingTeamid
Jorge Alcala,MIN,RP,FA,29,,,,,,,,,,,,,,,
Kyle Wright,KC,SP,FA,29,,,,,,,,,,,,,,,
Matt Manning,DET,SP,FA,27,,,,,,,,,,,,,,,
Colin Poche,WSH,RP,FA,31,,,,,,,,,,,,,,,
Andrew Chafin,DET,RP,FA,34,,,,,,,,,,,,,,,
Ryne Stanek,NYM,RP,FA,33,,,,,,,,,,,,,,,
Tim Hill,NYY,RP,FA,35,,,,,,,,,,,,,,,
Eli Morgan,CHC,RP,FA,28,,,,,,,,,,,,,,,
Jack Leiter,TEX,SP,FA,24,,,,,,,,,,,,,,,
Adam Mazur,MIA,SP,FA,23,,,,,,,,,,,,,,,
Enyel De Los Santos,ATL,RP,FA,29,,,,,,,,,,,,,,,
Kyle Nicolas,PIT,SP,FA,26,,,,,,,,,,,,,,,
Jose Ruiz,PHI,RP,FA,30,,,,,,,,,,,,,,,
Roansy Contreras,BAL,RP,FA,25,,,,,,,,,,,,,,,
Dedniel Nunez,NYM,RP,FA,28,,,,,,,,,,,,,,,
Jordan Leasure,CHW,RP,FA,26,,,,,,,,,,,,,,,
Xzavion Curry,MIA,SP,FA,26,,,,,,,,,,,,,,,
Jesse Chavez,TEX,RP,FA,41,,,,,,,,,,,,,,,
Calvin Faucher,MIA,RP,FA,29,,,,,,,,,,,,,,,
