Name,OriginalSalary,AdjustedSalary,AuctionSalary
Dean Kremer ,-16.72077857,-20.65611702,
Seth Halvorsen ,-16.72882846,-20.66595459,
Garrett McDaniels ,-16.77479049,-20.72212362,
Ryan Zeferjahn ,-16.85213928,-20.81664964,
Hogan Harris ,-16.85468917,-20.81976579,
Kyle Wright ,-16.96191428,-20.9508029,
Penn Murfee ,-16.98816888,-20.98288798,
Joe Ross ,-16.99406798,-20.99009712,
Domingo Gonzalez ,-16.99734645,-20.99410366,
Rafael Montero ,-17.02385049,-21.02649357,
Yoendrys Gomez,-17.03866287,-21.04459541,
Jordan Montgomery ,-17.06278087,-21.07406941,
Spencer Arrighetti ,-17.15251683,-21.18373347,
Zach Pop ,-17.17923152,-21.21638082,
Tim Hill ,-17.27030748,-21.32768245,
Jake Diekman ,-17.27526978,-21.33374676,
Edward Cabrera ,-17.31695891,-21.384694,
Hayden Birdsong ,-17.31780446,-21.38572732,
DJ Herz ,-17.50955219,-21.62005739,
Trevor Rogers ,-17.51777423,-21.63010534,
Andrew Painter ,-17.52832542,-22.06417081,8
Sean Reynolds ,-17.52990664,-21.64493205,
Keider Montero ,-17.53378504,-21.64967175,
Kyle Nicolas ,-17.64112855,-21.78085355,
Ryan Loutos ,-17.69552161,-21.84732593,
Tony Gonsolin ,-17.76104539,-21.92740089,
Steven Cruz ,-17.8219423,-22.00182148,
Tim Mayza ,-17.91624824,-22.11707039,
Jonathan Bowlan ,-17.93850034,-22.14426411,
Randy Vasquez,-17.94002111,-22.14612262,
Amos Willingham ,-17.94934074,-22.1575119,
Gordon Graceffo ,-17.99605335,-22.2145982,
Evan Reifert ,-18.02535105,-22.25040218,
Buck Farmer ,-18.09032022,-22.32979937,
Matt Waldron ,-18.0943009,-22.33466406,
Erick Fedde ,-18.14907166,-22.40159802,
Frankie Montas ,-18.20987288,-22.47590167,
Ryan Gusto ,-18.35237824,-22.65005387,
Justin Lawrence ,-18.40656076,-22.71626896,
Richard Fitts ,-18.5464923,-22.88727577,
Patrick Monteverde ,-18.62359887,-22.98150576,
Jordan Leasure ,-18.64362043,-23.00597362,
Walker Buehler ,-18.65764617,-23.49772963,16
Luis Guerrero ,-18.90468215,-23.32501056,
Angel Chivilli ,-19.01265911,-23.45696649,
Tyler Phillips ,-19.12188099,-23.59044379,
Zach Brzykcy ,-19.14197758,-23.61500333,
Chris Stratton ,-19.24540103,-23.74139452,
Lucas Giolito ,-19.26513465,-23.76551049,
Yosver Zulueta ,-19.27547225,-23.77814381,
Anthony DeSclafani ,-19.32516264,-23.83886918,
George Soriano ,-19.4131982,-23.94645522,
Alec Marsh ,-19.48249052,-24.03113561,
Andrew Heaney ,-19.50750691,-24.06170751,
Joe Boyle ,-19.54654738,-24.10941789,
Jake Bloss ,-19.65301698,-24.23953171,
Prelander Berroa ,-19.67171003,-24.26237601,
Victor Vodnik ,-19.68047538,-24.27308793,
Osvaldo Bido ,-19.85012067,-24.48040716,
Johan Oviedo ,-19.87768734,-24.51409569,
