Name,Team,Position,Status,Age,PitchingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9
Tim Herrin,CLE,RP,FA,28,,0.656834514,0.580626105,,4,0,3.39764,62,0,14,14,62,66,9.5829,3.69476
Griffin Canning,NYM,SP,FA,28,,-22.03700735,-27.15294627,,5,4,4.59078,46,0,1,1,98,88,8.04739,3.12621
JoJo Romero,STL,RP,FA,28,,-0.919256126,-1.345474556,,4,0,3.52592,61,1,13,14,61,60,8.88948,3.0307
Trent Thornton,SEA,RP,FA,31,,-2.375339554,-3.124917428,,3,0,3.73328,67,0,14,14,67,66,8.83941,2.69384
Dylan Lee,ATL,RP,FA,30,,4.564750504,5.356391778,,4,0,3.3188,62,0,13,13,62,71,10.3636,2.58998
Nate Pearson,CHC,RP,FA,28,,-9.485614611,-11.81420543,,2,0,3.97478,54,0,7,7,54,59,9.87175,3.55642
A.J. Minter,NYM,RP,FA,31,,4.631559697,5.438037609,,5,0,3.36916,54,2,11,13,54,60,10.0447,2.9807
Spencer Turnbull,(N/A),RP,FA,32,,-16.63240696,-20.54812031,,3,5,4.30288,11,0,0,0,63,57,8.19351,3.29369
Joe Mantiply,ARI,RP,FA,34,,-4.565822572,-5.801851536,,4,0,3.59418,59,0,11,11,59,51,7.77604,2.66833
Tayler Scott,HOU,RP,FA,32,,-6.174048629,-7.767224082,,4,0,3.93299,65,1,16,17,65,65,9.02956,3.90496
Jared Shuster,CHW,SP,FA,26,,-20.34411816,-25.08410905,,2,0,4.63409,40,0,1,1,40,31,6.88361,3.49618
Matthew Liberatore,STL,SP,FA,25,,-6.641106204,-8.338003377,,5,2,3.96707,65,2,12,14,85,78,8.30447,3.25575
Aaron Bummer,ATL,RP,FA,31,,5.200479329,6.133299958,,5,0,3.0264,61,1,14,15,61,71,10.4223,3.60012
John Schreiber,KC,RP,FA,31,,-7.100693816,-8.899653819,,4,0,3.88239,61,1,12,13,61,56,8.30349,3.57307
Tony Gonsolin,LAD,SP,FA,30,,-17.76104539,-21.92740089,,6,6,4.4859,39,0,1,1,99,86,7.7953,3.02726
Tanner Banks,PHI,RP,FA,33,,-4.398491297,-5.597360201,,3,0,3.72499,68,0,12,12,68,67,8.9052,2.85462
Josh Winckowski,BOS,RP,FA,26,,-11.30636389,-14.03929725,,3,0,3.99566,55,0,7,7,55,46,7.601,2.79414
Robert Garcia,TEX,P,FA,28,,4.963518218,5.843715755,,5,0,3.46436,64,8,10,18,64,74,10.4553,3.22983
John King,STL,RP,FA,30,,-8.467129434,-10.56954036,,3,0,3.65616,59,0,12,12,59,40,6.06374,2.46464
Bryan Hudson,MIL,RP,FA,27,,-0.071072563,-0.308930794,,3,0,3.51998,60,1,11,12,60,65,9.74438,3.26859
Anthony DeSclafani,(N/A),SP,FA,34,,-19.32516264,-23.83886918,,3,5,4.632,10,0,0,0,54,42,7.01279,2.49727
