Name,Team,Position,Status,Age,HittingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG
Sean Murphy,ATL,C,FA,30,,-10.5543294,-13.12025486,,92,365,319,75,14,42,47,35,8,0,0.233988
Andrew McCutchen,PIT,UT,FA,38,,-13.42712961,-16.63103161,,105,455,393,90,14,52,48,54,5,5,0.227743
Kyle Stowers,MIA,OF,FA,27,,-9.817317682,-12.2195714,,107,462,412,95,17,51,58,39,7,2,0.23114
Kyle Isbel,KC,OF,FA,28,,-1.629467013,-2.213405388,,126,546,495,120,12,70,57,37,6,15,0.241897
Jung Hoo Lee,SF,OF,FA,26,,6.099803439,7.232341295,,143,616,562,161,11,68,69,45,5,6,0.286612
Gavin Lux,CIN,2B,FA,27,,-7.102131839,-8.901411191,,113,490,434,112,11,61,51,49,3,6,0.25823
Michael Conforto,LAD,OF,FA,32,,-2.623182801,-3.427800416,,115,497,439,104,20,59,69,48,7,2,0.238061
Nolan Jones,COL,OF,FA,26,,1.08512539,1.104029595,,120,518,449,115,16,63,63,61,5,11,0.255586
Seth Brown,ATH,"1B,OF",FA,32,,-15.79062391,-19.51939845,,78,336,308,73,15,36,45,24,2,4,0.237885
Tyler Soderstrom,ATH,1B,FA,23,,-4.553248105,-5.786484597,,122,522,473,108,23,56,69,39,5,1,0.227614
Tommy Pham,PIT,OF,FA,36,,-11.11703416,-13.80792216,,104,448,403,100,10,53,43,38,3,10,0.247648
Caleb Durbin,MIL,"2B,3B",FA,25,,-27.73505729,-34.11638955,,49,210,184,44,4,25,22,18,5,10,0.23759
Hyeseong Kim,LAD,2B,FA,26,,-10.64508352,-13.23116318,,92,399,369,103,5,46,40,24,2,16,0.279204
J.P. Crawford,SEA,SS,FA,30,,-6.599929785,-8.287682713,,141,609,526,126,12,71,55,71,7,5,0.240074
Bo Naylor,CLE,C,FA,25,,-5.824969238,-7.340622953,,110,435,381,84,16,52,52,47,3,7,0.219784
Edouard Julien,MIN,2B,FA,25,,-22.99644786,-28.32545435,,71,308,261,60,8,38,31,43,2,5,0.22819
Johan Rojas,PHI,OF,FA,24,,-17.51412891,-21.62565049,,73,315,292,72,5,38,31,15,4,19,0.247226
