Name,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG
Jurickson Profar,147,637,549,142,15,82,67,71,10,7,0.258331
Josh Smith,87,378,330,81,9,45,40,34,10,6,0.244784
Jorge Soler,133,574,500,116,27,75,76,64,6,1,0.231125
Jo Adell,112,483,436,98,23,60,68,36,7,13,0.225957
Will Wagner,94,406,357,97,7,47,43,41,4,3,0.271638
Leody Taveras,78,336,305,77,8,40,37,26,1,13,0.251382
Nolan Gorman,113,490,440,100,25,61,68,44,3,6,0.226945
Miguel Vargas,115,497,430,99,15,61,52,57,6,9,0.230857
Sal Frelick,104,448,405,108,6,53,43,35,5,13,0.267336
Orlando Arcia,138,595,541,127,17,63,66,44,3,2,0.233869
Jace Jung,84,364,315,71,10,38,39,44,3,2,0.224217
Nolan Jones,120,518,449,115,16,63,63,61,5,11,0.255586
Alec Burleson,110,476,437,120,16,57,64,30,4,6,0.275391
Jose Siri,96,413,377,79,17,51,53,27,5,14,0.210239
Willi Castro,139,602,538,131,13,74,61,43,15,19,0.244105
Kerry Carpenter,115,497,451,115,22,60,74,35,7,3,0.254986
Carson Kelly,76,301,267,61,8,32,33,27,4,1,0.229213
Ceddanne Rafaela,100,434,408,103,12,54,54,16,6,16,0.253415
Mike Yastrzemski,115,497,441,99,17,60,57,47,6,4,0.2237
Yoán Moncada,120,518,465,113,13,56,54,46,4,4,0.243751
Hyeseong Kim,92,399,369,103,5,46,40,24,2,16,0.279204
Kyle Higashioka,81,322,297,64,14,34,43,20,1,2,0.215216
LaMonte Wade Jr.,113,490,412,100,14,62,47,67,6,3,0.241833
Travis d'Arnaud,65,257,234,54,10,29,32,17,4,0,0.232504
Trevor Larnach,109,469,411,99,16,59,60,50,4,3,0.241163
Christopher Morel,117,504,448,104,22,61,66,47,5,9,0.231937
Michael Conforto,115,497,439,104,20,59,69,48,7,2,0.238061
Thairo Estrada,115,497,461,122,15,60,60,23,9,10,0.264726
Kyle Manzardo,100,434,377,92,17,57,55,47,4,1,0.243319
Freddy Fermin,70,275,249,63,7,30,30,21,2,1,0.253303
Nolan Schanuel,128,553,474,121,14,65,57,65,8,8,0.255479
Jonathan Aranda,81,350,305,78,12,44,45,35,6,1,0.256587
Lourdes Gurriel Jr.,130,560,518,141,17,64,73,32,6,5,0.272059
Max Kepler,117,504,453,109,18,60,61,41,6,3,0.239826
Ryan O'Hearn,94,406,369,99,15,50,54,31,3,3,0.267315
Heston Kjerstad,92,399,356,91,14,50,53,30,9,2,0.25501
Mike Tauchman,92,399,340,83,9,53,35,51,4,7,0.243814
Carlos Santana,136,588,514,117,20,64,70,66,4,3,0.227683
Ryan Mountcastle,123,532,488,126,19,61,70,36,3,3,0.257883
Brendan Rodgers,83,357,328,83,9,40,40,23,3,1,0.253918
Oswaldo Cabrera,91,392,356,86,11,47,45,29,3,7,0.241152
Luis Urías,78,336,291,65,9,37,35,34,8,3,0.224894
Spencer Steer,117,504,441,109,17,61,65,52,7,13,0.246654
Ernie Clement,71,308,289,77,7,34,35,13,2,6,0.26443
