Name,Team,Position,Status,Age,OriginalSalary,AdjustedSalary,AuctionSalary,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG,HittingTeamId
Colt Keith,DET,2B,FA,23,,,,,,,,,,,,,,,
Orlando Arcia,ATL,SS,FA,30,,,,,,,,,,,,,,,
Royce Lewis,MIN,3B,GOV,25,,,,,,,,,,,,,,,
Ryan O'Hearn,BAL,"1B,OF",FA,31,,,,,,,,,,,,,,,
Matt Wallner,MIN,OF,FA,27,,,,,,,,,,,,,,,
Brandon Marsh,PHI,OF,FA,27,,,,,,,,,,,,,,,
Andrew Benintendi,CHW,OF,FA,30,,,,,,,,,,,,,,,
Evan Carter,TEX,OF,CASH,22,,,,,,,,,,,,,,,
J.D. Martinez,(N/A),UT,FA,37,,,,,,,,,,,,,,,
Josh Jung,TEX,3B,JCR,27,,,,,,,,,,,,,,,
Austin Wells,NYY,C,FA,25,,,,,,,,,,,,,,,
Brandon Lowe,TB,2B,FA,30,,,,,,,,,,,,,,,
Nick Gonzales,PIT,2B,FA,25,,,,,,,,,,,,,,,
Joey Ortiz,MIL,3B,FA,26,,,,,,,,,,,,,,,
TJ Friedl,CIN,OF,FA,29,,,,,,,,,,,,,,,
Jake Meyers,HOU,OF,FA,28,,,,,,,,,,,,,,,
Sal Frelick,MIL,OF,FA,24,,,,,,,,,,,,,,,
Jonah Heim,TEX,C,FA,29,,,,,,,,,,,,,,,
Josh Rojas,CHW,3B,FA,30,,,,,,,,,,,,,,,
Christian Encarnacion-Strand,CIN,1B,FA,25,,,,,,,,,,,,,,,
Lars Nootbaar,STL,OF,FA,27,,,,,,,,,,,,,,,
Mike Yastrzemski,SF,OF,FA,34,,,,,,,,,,,,,,,
Mickey Moniak,LAA,OF,FA,26,,,,,,,,,,,,,,,
Sean Murphy,ATL,C,FA,30,,,,,,,,,,,,,,,
Jordan Walker,STL,OF,MMAS,22,,,,,,,,,,,,,,,
Andrew McCutchen,PIT,UT,FA,38,,,,,,,,,,,,,,,
Jonny Deluca,TB,OF,FA,26,,,,,,,,,,,,,,,
Kyle Stowers,MIA,OF,FA,27,,,,,,,,,,,,,,,
Kyle Isbel,KC,OF,FA,28,,,,,,,,,,,,,,,
Jung Hoo Lee,SF,OF,FA,26,,,,,,,,,,,,,,,
Gavin Lux,CIN,2B,FA,27,,,,,,,,,,,,,,,
Michael Conforto,LAD,OF,FA,32,,,,,,,,,,,,,,,
Nolan Jones,COL,OF,FA,26,,,,,,,,,,,,,,,
Seth Brown,ATH,"1B,OF",FA,32,,,,,,,,,,,,,,,
Kyle Manzardo,CLE,UT,VLAD,24,,,,,,,,,,,,,,,
Tyler Soderstrom,ATH,1B,FA,23,,,,,,,,,,,,,,,
Tommy Pham,PIT,OF,FA,36,,,,,,,,,,,,,,,
Caleb Durbin,MIL,"2B,3B",FA,25,,,,,,,,,,,,,,,
Jordan Lawlar,ARI,SS,TSN,22,,,,,,,,,,,,,,,
Hyeseong Kim,LAD,2B,FA,26,,,,,,,,,,,,,,,
J.P. Crawford,SEA,SS,FA,30,,,,,,,,,,,,,,,
Bo Naylor,CLE,C,FA,25,,,,,,,,,,,,,,,
Edouard Julien,MIN,2B,FA,25,,,,,,,,,,,,,,,
Johan Rojas,PHI,OF,FA,24,,,,,,,,,,,,,,,
Alex Verdugo,(N/A),OF,FA,28,,,,,,,,,,,,,,,
Jake Rogers,DET,C,FA,29,,,,,,,,,,,,,,,
Trevor Larnach,MIN,OF,FA,28,,,,,,,,,,,,,,,
Gabriel Moreno,ARI,C,FA,25,,,,,,,,,,,,,,,
Ivan Herrera,STL,C,FA,24,,,,,,,,,,,,,,,
MJ Melendez,KC,"OF,UT",FA,26,,,,,,,,,,,,,,,
Jeff McNeil,NYM,"2B,OF",FA,32,,,,,,,,,,,,,,,
Ha-seong Kim,TB,SS,FA,29,,,,,,,,,,,,,,,
Hunter Renfroe,KC,OF,FA,33,,,,,,,,,,,,,,,
Otto Lopez,MIA,2B,FA,26,,,,,,,,,,,,,,,
Jhonkensy Noel,CLE,"OF,UT",FA,23,,,,,,,,,,,,,,,
Jacob Wilson,ATH,SS,FA,22,,,,,,,,,,,,,,,
LaMonte Wade Jr.,SF,1B,FA,31,,,,,,,,,,,,,,,
Jorge Polanco,SEA,2B,FA,31,,,,,,,,,,,,,,,
Masataka Yoshida,BOS,UT,FA,31,,,,,,,,,,,,,,,
Chas McCormick,HOU,OF,FA,29,,,,,,,,,,,,,,,
Patrick Bailey,SF,C,FA,25,,,,,,,,,,,,,,,
Brayan Rocchio,CLE,SS,FA,24,,,,,,,,,,,,,,,
Mitch Garver,SEA,C,FA,34,,,,,,,,,,,,,,,
